Nome do Município,Código,Gentílico,IDEB - Anos iniciais do ensino fundamental,IDEB - Anos finais do ensino fundamental,Percentual das receitas oriundas de fontes externas - %,PIB per capita - R$,Índice de Desenvolvimento Humano Municipal (IDHM),Mortalidade Infantil - óbitos por mil nascidos vivos,Área da unidade territorial - km²,População estimada - pessoas,Salário médio mensal dos trabalhadores formais - salários mínimos,
Água Branca,2500106,agua branquense,6,4.4,96.5,6474.12,0.572,20.83,236.608,10172,1.6,
Aguiar,2500205,aguiarense,4.6,3.9,95.9,6782.94,0.597,-,344.708,5567,1.5,
Alagoa Grande,2500304,alagoa-grandense,4.1,3.2,95.1,7376.05,0.582,13.74,320.563,28604,1.8,
Alagoa Nova,2500403,alagoa-novense,4.4,3.3,93,10995.28,0.576,17.86,122.255,20596,1.7,
Alagoinha,2500502,alagoinhense,4.2,3.7,-,5927.65,0.595,12.5,96.980,14376,1.9,
Alcantil,2500536,alcantilense,4.6,4.2,96,6537.31,0.578,43.86,305.394,5475,1.5,
Algodão de Jandaíra,2500577,algodoense,4,3.1,93.6,8578.86,0.548,-,220.248,2488,1.6,
Alhandra,2500601,alhandrense,3.9,3.3,-,37520.73,0.582,14.02,182.663,19412,2.4,
São João do Rio do Peixe,2500700,são-joanense,4.2,3.4,94.8,7777.22,0.608,14.85,473.752,17934,1.7,
Amparo,2500734,amparense,5.3,3.4,90.7,7780.90,0.606,51.28,121.984,2229,1.4,
Aparecida,2500775,aparecidense,4.5,3.4,96,7843.83,0.578,16.95,295.705,8348,1.7,
Araçagi,2500809,araçagiense,4,3.3,97.1,7332.06,0.549,13.16,231.155,17061,1.6,
Arara,2500908,araraense,4.8,3.2,-,5895.99,0.548,7.58,99.111,13448,1.7,
Araruna,2501005,ararunense,4.3,3.3,95.8,6475.90,0.567,16.67,241.302,20237,1.6,
Areia,2501104,areiense,4,3,-,7902.07,0.594,13.7,266.596,22940,1.8,
Areia de Baraúnas,2501153,baraunense,-,3.6,97.7,7678.95,0.562,-,112.089,2137,1.5,
Areial,2501203,areialense,5.1,3.6,93.7,6723.82,0.608,24.39,35.641,6938,2.1,
Aroeiras,2501302,aroeirense,4.1,2.9,96.7,6081.79,0.548,8.72,374.697,19178,1.5,
Assunção,2501351,assunçãoense,4.6,3.4,98,7596.12,0.609,14.93,126.428,3876,1.6,
Baía da Traição,2501401,baianense,4.6,3.6,93.6,7731.49,0.581,12.42,102.242,8951,1.6,
Bananeiras,2501500,bananeirense,4.7,3,87.9,8209.22,0.568,6.49,257.753,21195,1.6,
Baraúna,2501534,baraunense,5.5,4.4,98.3,6675.43,0.558,14.71,50.582,4843,1.7,
Barra de Santana,2501575,barrasantense,5,4.1,96.7,6341.53,0.567,51.02,374.374,8245,1.8,
Barra de Santa Rosa,2501609,santa rosense,4.7,3.7,92.8,6878.96,0.562,20.69,775.655,15286,1.9,
Barra de São Miguel,2501708,barrense,4.8,4.7,96.4,6607.65,0.572,14.49,595.213,5943,1.6,
Bayeux,2501807,baienense,4.2,3.2,87.8,11297.51,0.649,12.74,27.536,96583,2.6,
Belém,2501906,belenense,4.5,3.2,90.4,7739.66,0.592,8.44,100.153,17640,1.4,
Belém do Brejo do Cruz,2502003,belenense do brejo do cruz,4.3,4.4,88.5,6962.49,0.578,-,601.167,7334,1.7,
Bernardino Batista,2502052,batistense,4.4,3.8,96.3,7398.05,0.558,64.52,50.628,3398,1.7,
Boa Ventura,2502102,boa-venturense,3.7,3.9,97.4,6003.21,0.599,13.89,170.580,5410,1.3,
Boa Vista,2502151,boavistense,6.6,4.1,89.5,16200.32,0.649,9.35,476.542,6986,1.6,
Bom Jesus,2502201,bom-jesuense,4.5,3.2,94.2,7984.33,0.597,-,46.169,2550,1.6,
Bom Sucesso,2502300,bom-sucessense,4.7,3.4,92.8,6568.00,0.592,-,184.102,4989,1.6,
Bonito de Santa Fé,2502409,bonitense,4.4,2.6,86.2,6799.04,0.574,-,228.327,11814,1.7,
Boqueirão,2502508,boqueirãoense,4.7,2.9,94.7,8878.11,0.607,23.65,374.523,17757,1.6,
Igaracy,2502607,igaraciense,4.6,4.2,97,7341.00,0.610,10.75,192.260,6182,1.5,
Borborema,2502706,borboremense,4.2,2.8,98.4,9255.49,0.558,14.71,25.979,5399,1.5,
Brejo do Cruz,2502805,brejo-cruzense,4.8,4.1,89.2,6886.06,0.597,17.75,399.020,14006,1.8,
Brejo dos Santos,2502904,brejo-santense,4,3,94.8,6829.12,0.619,-,93.846,6435,1.1,
Caaporã,2503001,caaporãense,3.7,3.3,87.1,18728.66,0.602,5.03,150.168,21717,2.2,
Cabaceiras,2503100,cabaceirense,6,4.6,95.4,7172.67,0.611,30.77,452.925,5511,1.8,
Cabedelo,2503209,cabedelense,4.3,3.7,65.8,35645.02,0.748,6.42,31.915,66858,2.6,
Cachoeira dos Índios,2503308,cachoeirense (dos Índios),3.9,3.1,-,9163.53,0.587,7.87,193.068,10191,1.6,
Cacimba de Areia,2503407,cacimbense (de Areia),3.9,3.8,97.5,7592.62,0.596,-,220.380,3731,1.5,
Cacimba de Dentro,2503506,cacimbense (de Dentro),4.3,3.5,-,5897.27,0.564,13.7,168.107,17153,1.8,
Cacimbas,2503555,cacimbense,4.1,3.1,96.9,5954.65,0.523,28.57,126.543,7148,1.6,
Caiçara,2503605,caiçarense,4.5,3,96.1,7619.89,0.592,-,127.914,7288,1.5,
Cajazeiras,2503704,cajazeirense,4.4,3,76.7,14834.31,0.679,15.46,565.899,61816,1.7,
Cajazeirinhas,2503753,cajazeirinhense,5.2,3.7,98.6,8072.13,0.550,-,287.894,3181,1.8,
Caldas Brandão,2503803,caldas-brandense,4.7,3.3,93.6,8136.43,0.568,9.17,55.854,5986,1.4,
Camalaú,2503902,camalauense,5,4.7,96.1,7917.84,0.567,22.73,543.688,5996,1.5,
Campina Grande,2504009,campinense,4.7,3.4,75,18716.38,0.720,12.71,593.026,407754,2.2,
Capim,2504033,capiense,3.5,3.1,97.8,7294.11,0.533,30.3,78.786,6441,1.6,
Caraúbas,2504074,caraúbense,4.7,-,96.6,6702.26,0.585,22.73,497.204,4143,1.5,
Carrapateira,2504108,carrapateirense,5.7,4.5,97.7,8458.57,0.603,0,54.524,2635,1.7,
Casserengue,2504157,cassereguense,4.8,3.5,97,6494.37,0.514,10.99,201.381,7436,1.7,
Catingueira,2504207,catingueirense,4,3.3,98.1,6961.91,0.574,-,529.457,4927,1.5,
Catolé do Rocha,2504306,catoleense,4.5,3.3,89.8,9891.77,0.640,16.2,552.112,30360,1.5,
Caturité,2504355,caturiteense,4.1,3.4,96.2,11758.33,0.623,29.85,118.080,4810,1.7,
