id,nome,tipo,unidadeMedida,pinType
1,ABASTECIMENTO DE ÁGUA,Polygon,Unidade(s),abastecimento_agua_
26,ADUTORA,Point,Extensão (km),adutora_
25,AEROPORTO,Point,Área do Projeto (m2),aeroporto_
27,ATERRO SANITÁRIO,Point,Área do Projeto (m2),aterro_sanitario_
2,AÇUDE BARRAGEM,Point,Volume Armazenado (m3),acude_barragem_
28,CAIXA D'ÁGUA,Point,Volume Armazenado (m3),caixa_agua_
30,CANAL,Polygon,Extensão (km),acude_barragem_
29,CISTERNA,BOTH,Unidade(s),cisterna_
5,CRECHE,Point,Área Construída (m2),creche_
6,ELETRIFICAÇÃO,Polygon,Extensão (km),eletrificacao_
7,ESCOLA,Point,Área Construída (m2),escola_
8,ESTRADA DE TERRA,Polygon,Extensão (km),estrada_terra_
9,GALERIA PLUVIAL,Polygon,Comprimento (m),galeria_pluvial_
10,GINÁSIO POLIESPORTIVO / QUADRA DE ESPORTES,Point,Área Construída (m2),ginasio_poliesportivo_quadra_esporte_
11,HOSPITAL,Point,Área Construída (m2),hospital_
12,MERCADO PÚBLICO / ABATEDOURO,Point,Área Construída (m2),mercado_publico_abatedouro_
32,MURO DE CONTENSÃO DE ATERROS,Point,Volume da Parede (m3),muro_contencao_aterro_
31,MÓDULO SANITÁRIO,BOTH,Unidade(s),modulo_sanitario_
13,PASSAGEM MOLHADA,BOTH,Área Construída (m2),passagem_molhada_
33,PASSARELA,Point,Comprimento (m),passarela_
14,PAVIMENTAÇÃO ASFALTO,Polygon,Área Construída (m2),pavimentacao_asfalto_
15,PAVIMENTAÇÃO PARALEPÍPEDO,Polygon,Área Construída (m2),pavimentacao_paralepipedo_
18,PONTE,Point,Área Construída (m2),ponte_
19,POSTO DE SAÚDE,Point,Área Construída (m2),posto_saude_
16,POÇO AMAZONAS,BOTH,Profundidade (m),poco_amazonas_
17,POÇO ARTESIANO,BOTH,Profundidade (m),poco_artesiano_
34,POÇO TUBULAR,BOTH,Profundidade (m),poco_tubular_
20,PRAÇA,Point,Área Construída (m2),praca_
21,PRESÍDIO,Point,Área Construída (m2),presidio_
4,PRONTO SOCORRO,Point,Área Construída (m2),pronto_socorro_
36,PSF,Point,Área Construída (m2),psf_
22,REDE COLETORA DE ESGOTO,Point,Quantidade de Ligações,saneamento_basico_
37,SERVIÇO DE LIMPEZA E COLETA DE RESÍDUS SÓLIDOS,Polygon,Extensão Percorrida (km),servico_limpeza_
23,UNIDADE HABITACIONAL,Point,Unidade(s),unidade_habitacional_
35,VIADUTO,Point,Área Construída (m2),viaduto_
24,OUTRAS,Point,-,-

